ITEM CCODE,BARCODE,ITEM DESCRIPTION,CATERGORY,item catergory,unit of measure
CBC-CUS-EAC,11035.0,Currant Square,18,internal,ea
CBC-EB1-1M,,BD 1MX500 BC Eggless,21,internal,ea
CBC-FLA-EAC,11036.0,Flakey Bits,18,internal,ea
CBC-JAP-EAC,11037.0,Jam Puff,18,internal,ea
CBC-JAT-EAC,11038.0,Jam Tart,18,internal,ea
CBC-JDN-EAC,11019.0,Jam Doughnut,18,internal,ea
CBC-JTO-EAC,11039.0,Jam Turnover,18,internal,ea
CBC-KOE-EAC,11020.0,Koeksuster 1s,18,internal,ea
CBC-LPC-EAC,11009.0,Choc Lamington Plain,18,internal,ea
CBC-LPR-EAC,11010.0,Raspberry Lamington Plain,18,internal,ea
CBC-MBD-EAC,11043.0,Mini Buttercream D/N,22,internal,ea
CBC-MBG-EAC,11098.0,Mothers Day Buttercream Gateaux,18,internal,ea
CBC-MCD-EAC,11044.0,Mini Chocolate D/N,18,internal,ea
CBC-MCL-EAC,,Mini Lamington Chocolate Plain,23,internal,ea
CBC-MEL-40G,11021.0,Melting Moments 40g (Round),24,external,ea
CBC-MEL-60G,11023.0,Melting Moments 60g (Long),18,internal,ea
CBC-MFL-EAC,11045.0,Mini F/BITS,18,internal,ea
CBC-MRL-EAC,,Mini Lamington Raspberry Plain,18,internal,ea
CBC-MSB-EACH,11046.0,Mini S/B,18,internal,ea
CBC-MUE-EAC,11007.0,Muesli Slice,18,internal,ea
CBC-PCC-EAC,30338.0,BD Picture Cup Cakes,25,internal,ea
CBC-QUC-EAC,11011.0,Queen Cakes 1s,18,internal,ea
CBC-SNO-EAC,11013.0,Snowballs 1s,18,internal,ea
CBF-BCF-018,10088.0,BD Buttercream Figure 18,26,internal,ea
CBF-BCF-018,10088.0,BD Buttercream Figure 18,26,internal,ea
CBF-BCF-020,10090.0,BD Buttercream Figure 20,20,internal,ea
CBF-BCF-020,10090.0,BD Buttercream Figure 20,20,internal,ea
CBF-BCK-020,10096.0,BD Buttercream Key,17,internal,ea
CBF-BFE-020,10199.0,BD 20 Buttercream Figure on Base Eggless,20,internal,ea
CBF-BFS-018,10092.0,BD Buttercream Fig on SL 18,26,internal,ea
CBF-BFS-018,10092.0,BD Buttercream Fig on SL 18,26,internal,ea
CBF-BFS-020,10094.0,BD Buttercream Fig on SL 20,26,internal,ea
CBF-BLF-014,12001.0,BD Freshcream 14 Black Forest,27,internal,ea
CBF-BLF-016,12020.0,BD Freshcream 16 Blackforest,28,internal,ea
CBF-FCD-014,10039.0,BD Freshcream 14 DL,29,internal,ea
CBF-FCF-018,10089.0,BD Freshcream Figure 18,30,internal,ea
CBF-FCF-020,10091.0,BD Freshcream Figure 20,31,internal,ea
CBF-FCK-020,10097.0,BD Freshcream Key,17,internal,ea
CBF-FF0-020,,BD 20 Freshcream Figure Only Eggless,31,internal,ea
CBF-FFE-020,10198.0,BD Freshcream Figure on Base Eggless 20,30,internal,ea
CBF-FFS-018,10093.0,BD Freshcream Fig on SL 18,30,internal,ea
CBF-FFS-020,10095.0,BD Freshcream Fig on SL 20,31,internal,ea
CBF-FOE-020,,BD 20 Buttercream Figure Only Eggless,20,internal,ea
CBN-B1M-EACH,,BD Buttercream 1MX1M,17,internal,ea
CBN-F1M-EACH,,BD Freshcream 1M X1M,17,internal,ea
CBR-BCR-012,10105.0,BD Buttercream 12 Round,32,internal,ea
CBR-BCR-014,10107.0,BD Buttercream 14 Round,32,internal,ea
CBR-BCR-016,10109.0,BD Buttercream 16 Round,33,internal,ea
CBR-BCR-018,10104.0,BD Buttercream 18 Round,32,internal,ea
CBR-BCR-020,10112.0,BD Buttercream 20 Round,33,internal,ea
CBR-FCR-012,10106.0,BD Freshcream 12 Round,34,internal,ea
CBR-FCR-014,10108.0,BD Freshcream 14 Round,34,internal,ea
CBR-FCR-016,10110.0,BD Freshcream 16 Round,35,internal,ea
CBR-FCR-018,10111.0,BD Freshcream 18 Round,36,internal,ea
CBR-FCR-020,10113.0,BD Freshcream 20 Round,36,internal,ea
CBS-BCD-012,10005.0,BD Buttercream 12 DL,37,internal,ea
CBS-BCD-014,10007.0,BD Buttercream 14 DL,37,internal,ea
CBS-BCD-016,10011.0,BD Buttercream 16 DL,37,internal,ea
CBS-BCD-018,10015.0,BD Buttercream 18 DL,38,internal,ea
CBS-BCD-020,10018.0,BD Buttercream 20 DL,37,internal,ea
CBS-BCD-022,10031.0,BD Buttercream 22 DL,37,internal,ea
CBS-BCE-016,10033.0,BD 16 BC DL Eggless,37,internal,ea
CBS-BLF-012,10078.0,BD Freshcream 12 Black Forest,39,internal,ea
CBS-FCD-012,10037.0,BD Freshcream 12 DL,29,internal,ea
CBS-FCD-016,10041.0,BD Freshcream 16 DL,29,internal,ea
CBS-FCD-018,10045.0,BD Freshcream 18 DL,29,internal,ea
CBS-FCD-020,10050.0,BD Freshcream 20 DL,40,internal,ea
CBS-FCD-022,10054.0,BD Freshcream 22 DL,29,internal,ea
CBS-FCE-016,10103.0,BD 16 Freshcream Eggless,29,internal,ea
CBS-SBE-EACH,30650.0,Eggless Small Buttercream Gateaux,18,internal,ea
CBW-CAK-003,10102.0,BD Buttercream 3 Tier Stacked,41,internal,ea
CBW-CKE-003,10098.0,BD Wedding Cake BC 10 12 14 Loose,41,internal,ea
CBW-STA-EAC,10289.0,BD Buttercream 2Tier Stacked 12 16,41,internal,ea
CEX- BDC-EAC,,Bar One 6 Layer Drip With Toppings,42,internal,ea
CEX- BEG-EAC,14050.0,FC Bar One Eggless Drip,42,internal,ea
CEX CCD-EAC,14030.0,Cheese Cake Dessert,42,internal,ea
CEX- LFD-EACH,,20cmBC4LayerDrip Cake- Fresh Flowers Macaroon/topp,17,internal,ea
CEX- MCP-EAC,14091.0,Moist Chocolate Pudding,42,internal,ea
CEX- MDB-EAC,,Buttercream 6 Layer Drip Cake with toppings,42,internal,ea
CEX- NBS-EAC,,New York Blueberry Cheese Cake Slice,43,internal,ea
CEX -NYW-EAC,30665.0,New York Baked Cheese Cake Round,42,internal,ea
CEX- RTR-12,,BC 12'' Round Triple Layer Rose Pattern,17,internal,ea
CEX-AMB-EAC,14001.0,American Brownie,42,internal,ea
CEX-APP-EAC,14025.0,Apple Tart,43,internal,ea
CEX-ATS-EAC,,Apple Tartlet,43,internal,ea
CEX-BAR-012,10001.0,BD Bar One Square 12,42,internal,ea
CEX-BAR-014,10002.0,BD Bar One Square 14,42,internal,ea
CEX-BAR-016,10003.0,BD Bar One Square 16,42,internal,ea
CEX-BAR-018,,BD Bar One Square 18,42,internal,ea
CEX-BAR-020,,BD Bar One Square 20,43,internal,ea
CEX-BCC-EAC,14027.0,Baked Citrus Cheese Cake,43,internal,ea
CEX-BOL-EAC,4005.0,Bar One Log,42,internal,ea
CEX-BOM-EAC,14065.0,Mothers Day Bar One Round with rose and leaves,42,internal,ea
