TABLE_NAME COLUMN_NAME DATA_TYPE CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
AP_PaymentBatchItems RejectionReasonText nvarchar 500 YES
AP_PaymentBatchItems EndToEndID nvarchar 100 YES
AP_PaymentBatchItems CreatedDate datetime NULL YES
AP_StatementBalances BalanceID int NULL NO
AP_StatementBalances AccountNumber nvarchar 50 NO
AP_StatementBalances BalanceType nvarchar 10 YES
AP_StatementBalances Amount decimal NULL NO
AP_StatementBalances Currency nvarchar 3 YES
AP_StatementBalances CreditDebitIndicator nvarchar 10 YES
AP_StatementBalances BalanceDate date NULL YES
AP_StatementBalances FetchedBy nvarchar 100 YES
AP_StatementBalances FetchedDate datetime NULL NO
AP_StatementTransactions TransactionID int NULL NO
AP_StatementTransactions AccountNumber nvarchar 50 NO
AP_StatementTransactions AccountName nvarchar 200 YES
AP_StatementTransactions TransactionDate date NULL NO
AP_StatementTransactions BookingDateTime datetime NULL YES
AP_StatementTransactions ValueDate date NULL YES
AP_StatementTransactions Amount decimal NULL NO
AP_StatementTransactions Currency nvarchar 10 YES
AP_StatementTransactions CreditDebitIndicator nvarchar 10 YES
AP_StatementTransactions Description nvarchar 500 YES
AP_StatementTransactions Reference nvarchar 200 YES
AP_StatementTransactions ServicerReference nvarchar 100 YES
AP_StatementTransactions EndToEndID nvarchar 100 YES
AP_StatementTransactions BankTransactionDomainCode nvarchar 50 YES
AP_StatementTransactions BankTransactionFamilyCode nvarchar 50 YES
AP_StatementTransactions BankTransactionSubFamilyCode nvarchar 50 YES
AP_StatementTransactions RelatedPartyName nvarchar 200 YES
AP_StatementTransactions MappedCategoryID int NULL YES
AP_StatementTransactions MappedInvoiceID int NULL YES
AP_StatementTransactions IsReconciled bit NULL YES
AP_StatementTransactions ReconciledDate datetime NULL YES
AP_StatementTransactions ReconciledBy nvarchar 100 YES
AP_StatementTransactions StatementMessageID nvarchar 100 YES
AP_StatementTransactions FetchedDate datetime NULL YES
AP_StatementTransactions FetchedBy nvarchar 100 YES
AP_StatementTransactions RawJSON nvarchar -1 YES
AP_StatementTransactions IsMapped bit NULL YES
AP_StatementTransactions MappedLedgerAccount nvarchar 200 YES
AP_StatementTransactions MappedDate datetime NULL YES
AP_StatementTransactions MappedBy nvarchar 100 YES
APInvoices InvoiceID int NULL NO
APInvoices InvoiceNumber nvarchar 50 NO
APInvoices SupplierID int NULL NO
APInvoices GLAccountCode nvarchar 20 NO
APInvoices InvoiceDate date NULL NO
APInvoices DueDate date NULL NO
APInvoices Amount decimal NULL NO
APInvoices Description nvarchar 500 YES
APInvoices IsPaid bit NULL YES
APInvoices PaidDate date NULL YES
APInvoices CreatedBy int NULL NO
APInvoices CreatedDate datetime NULL YES
APInvoices ModifiedBy int NULL YES
APInvoices ModifiedDate datetime NULL YES
BankStatementMappingRules RuleID int NULL NO
BankStatementMappingRules Keyword nvarchar 100 NO
BankStatementMappingRules AccountCode nvarchar 20 NO
BankStatementMappingRules AccountName nvarchar 200 NO
BankStatementMappingRules Priority int NULL NO
BankStatementMappingRules IsActive bit NULL NO
BankStatementMappingRules CreatedBy int NULL NO
BankStatementMappingRules CreatedDate datetime NULL NO
ChartOfAccounts AccountID int NULL NO
ChartOfAccounts AccountCode nvarchar 20 NO
ChartOfAccounts AccountName nvarchar 200 NO
ChartOfAccounts AccountType nvarchar 50 NO
ChartOfAccounts ParentAccountCode nvarchar 20 YES
ChartOfAccounts IsActive bit NULL NO
ChartOfAccounts IsSubsidiaryLedger bit NULL NO
ChartOfAccounts IsControlAccount bit NULL NO
ChartOfAccounts NormalBalance nvarchar 2 YES
