Item Code,BARCODE,ITEM DESCRIPTION,CATERGORY,item catergory,Ingredients,Item Description,Whse,Cost,Incl Price,
CAN-WHI-002,8017,Candle Numeral 2 White,candle,external,,Candle Numeral 2 White,OD200,12.83,22.00,
CAN-WHI-003,8018,Candle Numeral 3 White,candle,external,,Candle Numeral 3 White,OD200,12.83,22.00,
CAN-WHI-004,8019,Candle Numeral 4 White,candle,external,,Candle Numeral 4 White,OD200,12.83,22.00,
CAN-WHI-005,8020,Candle Numeral 5 White,candle,external,,Candle Numeral 5 White,OD200,12.83,22.00,
CAN-WHI-006,8021,Candle Numeral 6 White,candle,external,,Candle Numeral 6 White,OD200,12.83,22.00,
CAN-WHI-007,8022,Candle Numeral 7 White,candle,external,,Candle Numeral 7 White,OD200,12.83,22.00,
CAN-WHI-008,8023,Candle Numeral 8 White,candle,external,,Candle Numeral 8 White,OD200,12.83,22.00,
CAN-WHI-009,8024,Candle Numeral 9 White,candle,external,,Candle Numeral 9 White,OD200,12.83,22.00,
CBA-BAC-014,0,BD 14'' Buttercream Alphabet Cake,novelty,internal,,BD 14'' Buttercream Alphabet Cake,OD200,0.00,640.00,
CBA-BEA-016,0,BD 16'' Eggless Buttercream Alphabet Cake,novelty,internal,,BD 16'' Eggless Buttercream Alphabet Cake,OD200,0.00,830.00,
CBC-BBG-EAC,11001,BC Birthday Gateaux,buttercream cake,internal,,BC Birthday Gateaux,OD200,0.00,135.00,
CBC-BCC-EAC,30337,Icing Cup Cakes,buttercream cake,internal,,Icing Cup Cakes,OD200,0.00,18.00,
CBC-BCD-EAC,11004,BC Chocolate Delight,buttercream cake,internal,,BC Chocolate Delight,OD200,0.00,19.00,
CBC-BCE-EAC,0,BC Eggless Vanilla Gateaux,buttercream cake,internal,,BC Eggless Vanilla Gateaux,OD200,0.00,140.00,
CBC-BCG-EAC,11003,BC Chocolate Gateaux,buttercream cake,internal,,BC Chocolate Gateaux,OD200,0.00,125.00,
CBC-BCN-EAC,30339,Icing Cup Cakes With Name,buttercream cake,internal,,Icing Cup Cakes With Name,OD200,0.00,20.00,
CBC-BCS-EAC,11005,BC Chocolate Slice,buttercream cake,internal,,BC Chocolate Slice,OD200,0.00,19.00,
CBC-BCS-EAC,11005,BC Chocolate Slice,buttercream cake,internal,,BC Chocolate Slice,OD200,0.00,19.00,
CBC-BCS-EAC,11005,BC Chocolate Slice,buttercream cake,internal,,BC Chocolate Slice,OD200,0.00,19.00,
CBC-BCS-EAC,11005,BC Chocolate Slice,buttercream cake,internal,,BC Chocolate Slice,OD200,0.00,19.00,
CBC-BDN-EAC,11016,BC Doughnut,buttercream cake,internal,,BC Doughnut,OD200,0.00,14.00,
CBC-BEG-EAC,11040,BC Eggless Birthday Gateaux,buttercream cake,internal,,BC Eggless Birthday Gateaux,OD200,0.00,150.00,
CBC-BRG-EAC,11042,BC Smash Choc Rose Pattern Gateaux,buttercream cake,internal,,BC Smash Choc Rose Pattern Gateaux,OD200,0.00,380.00,
CBC-CBG-EAC,11097,Christmas Buttercream Gateaux,buttercream cake,internal,,Christmas Buttercream Gateaux,OD200,0.00,110.00,
CBC-CDN-EAC,11018,Chocolate Doughnut,buttercream cake,internal,,Chocolate Doughnut,OD200,0.00,14.00,
CBC-CNL-EAC,11032,Coconut Tartlet,biuttercream cake,internal,,Coconut Tartlet,OD200,0.00,18.00,
CBC-CNR-EAC,11030,Coconut Ring,buttercream cake,internal,,Coconut Ring,OD200,0.00,18.00,
CBC-CNS-EAC,11008,Coconut Slice,buttercream cake,internal,,Coconut Slice,OD200,0.00,14.00,
CBC-CRP-EAC,11034,Cream Puff,buttercream figure,internal,,Cream Puff,OD200,0.00,17.00,
CBC-CUS-EAC,11035,Currant Square,buttercream cake,internal,,Currant Square,OD200,0.00,17.00,
CBC-EB1-1M,0,BD 1MX500 BC Eggless,buttercream 1mx500,internal,,BD 1MX500 BC Eggless,OD200,0.00,"3,100.00",
CBC-FLA-EAC,11036,Flakey Bits,buttercream cake,internal,,Flakey Bits,OD200,0.00,17.00,
CBC-JAP-EAC,11037,Jam Puff,buttercream cake,internal,,Jam Puff,OD200,0.00,17.00,
CBC-JDN-EAC,11019,Jam Doughnut,buttercream cake,internal,,Jam Doughnut,OD200,0.00,12.00,
CBC-JTO-EAC,11039,Jam Turnover,buttercream cake,internal,,Jam Turnover,OD200,0.00,17.00,
CBC-KOE-EAC,11020,Koeksuster 1s,buttercream cake,internal,,Koeksuster 1s,OD200,0.00,13.00,
CBC-LPC-EAC,11009,Choc Lamington Plain,buttercream cake,internal,,Choc Lamington Plain,OD200,32.00,15.00,
CBC-LPR-EAC,11010,Raspberry Lamington Plain,buttercream cake,internal,,Raspberry Lamington Plain,OD200,32.00,15.00,
CBC-MBD-EAC,11043,Mini Buttercream D/N,buttercream,internal,,Mini Buttercream D/N,OD200,0.00,11.00,
CBC-MBG-EAC,11098,Mothers Day Buttercream Gateaux,buttercream cake,internal,,Mothers Day Buttercream Gateaux,OD200,0.00,140.00,
CBC-MCD-EAC,11044,Mini Chocolate D/N,buttercream cake,internal,,Mini Chocolate D/N,OD200,0.00,11.00,
CBC-MCL-EAC,0,Mini Lamington Chocolate Plain,shop front,internal,,Mini Lamington Chocolate Plain,OD200,0.00,11.50,
CBC-MEL-40G,11021,Melting Moments 40g (Round),sweet,external,,Melting Moments 40g (Round),OD200,0.00,13.00,
CBC-MEL-60G,11023,Melting Moments 60g (Long),buttercream cake,internal,,Melting Moments 60g (Long),OD200,0.00,15.00,
CBC-MFL-EAC,11045,Mini F/BITS,buttercream cake,internal,,Mini F/BITS,OD200,0.00,11.50,
CBC-MRL-EAC,0,Mini Lamington Raspberry Plain,buttercream cake,internal,,Mini Lamington Raspberry Plain,OD200,0.00,11.50,
CBC-MRL-EAC,0,Mini Lamington Raspberry Plain,buttercream cake,internal,,Mini Lamington Raspberry Plain,OD200,0.00,11.50,
CBC-MRL-EAC,0,Mini Lamington Raspberry Plain,buttercream cake,internal,,Mini Lamington Raspberry Plain,OD200,0.00,11.50,
CBC-MSB-EACH,11046,Mini S/B,buttercream cake,internal,,Mini S/B,OD200,0.00,11.50,
CBC-MUE-EAC,11007,Muesli Slice,buttercream cake,internal,,Muesli Slice,OD200,0.00,18.00,
CBC-PCC-EAC,30338,BD Picture Cup Cakes,buttercream cakes,internal,,BD Picture Cup Cakes,OD200,0.00,20.00,
CBC-QUC-EAC,11011,Queen Cakes 1s,buttercream cake,internal,,Queen Cakes 1s,OD200,0.00,11.00,
CBC-SNO-EAC,11013,Snowballs 1s,buttercream cake,internal,,Snowballs 1s,OD200,0.00,16.00,
CBF-BCF-018,10088,BD Buttercream Figure 18,buttercream figure cake,internal,,BD Buttercream Figure 18,OD200,0.00,850.00,
CBF-BCF-020,10090,BD Buttercream Figure 20,buttercream figure,internal,,BD Buttercream Figure 20,OD200,0.00,900.00,
CBF-BFE-020,10199,BD 20 Buttercream Figure on Base Eggless,buttercream figure,internal,,BD 20 Buttercream Figure on Base Eggless,OD200,0.00,"1,000.00",
CBF-BFS-018,10092,BD Buttercream Fig on SL 18,buttercream figure cake,internal,,BD Buttercream Fig on SL 18,OD200,0.00,940.00,
CBF-BFS-020,10094,BD Buttercream Fig on SL 20,buttercream figure cake,internal,,BD Buttercream Fig on SL 20,OD200,0.00,990.00,
CBF-BLF-014,12001,BD Freshcream 14 Black Forest,freshcream square black forest,internal,,BD Freshcream 14 Black Forest,OD200,0.00,740.00,
CBF-BLF-016,12020,BD Freshcream 16 Blackforest,freshcream blackforest,internal,,BD Freshcream 16 Blackforest,OD200,0.00,800.00,
CBF-FCD-014,10039,BD Freshcream 14 DL,freshcream square,internal,,BD Freshcream 14 DL,OD200,0.00,470.00,
CBF-FCF-018,10089,BD Freshcream Figure 18,freshcream figure cake,internal,,BD Freshcream Figure 18,OD200,0.00,900.00,
CBF-FCF-020,10091,BD Freshcream Figure 20,freshcream figure,internal,,BD Freshcream Figure 20,OD200,0.00,950.00,
CBF-FF0-020,0,BD 20 Freshcream Figure Only Eggless,freshcream figure,internal,,BD 20 Freshcream Figure Only Eggless,OD200,0.00,"1,300.00",
CBF-FFE-020,10198,BD Freshcream Figure on Base Eggless 20,freshcream figure cake,internal,,BD Freshcream Figure on Base Eggless 20,OD200,0.00,"1,150.00",
CBF-FFS-018,10093,BD Freshcream Fig on SL 18,freshcream figure cake,internal,,BD Freshcream Fig on SL 18,OD200,0.00,990.00,
CBF-FFS-020,10095,BD Freshcream Fig on SL 20,freshcream figure,internal,,BD Freshcream Fig on SL 20,OD200,0.00,"1,040.00",
CBF-FOE-020,0,BD 20 Buttercream Figure Only Eggless,buttercream figure,internal,,BD 20 Buttercream Figure Only Eggless,OD200,0.00,"1,250.00",
CBN-B1M-EACH,0,BD Buttercream 1MX1M,novelty,internal,,BD Buttercream 1MX1M,OD200,0.00,"5,500.00",
CBN-F1M-EACH,0,BD Freshcream 1M X1M,novelty,internal,,BD Freshcream 1M X1M,OD200,0.00,"5,700.00",
CBR-BCR-012,10105,BD Buttercream 12 Round,buttercream cake round,internal,,BD Buttercream 12 Round,OD200,0.00,420.00,
CBR-BCR-014,10107,BD Buttercream 14 Round,buttercream cake round,internal,,BD Buttercream 14 Round,OD200,0.00,450.00,
CBR-BCR-016,10109,BD Buttercream 16 Round,buttercream round,internal,,BD Buttercream 16 Round,OD200,0.00,480.00,
CBR-BCR-018,10104,BD Buttercream 18 Round,buttercream cake round,internal,,BD Buttercream 18 Round,OD200,0.00,570.00,
CBR-BCR-020,10112,BD Buttercream 20 Round,buttercream round,internal,,BD Buttercream 20 Round,OD200,0.00,610.00,
CBR-FCR-012,10106,BD Freshcream 12 Round,freshcream cake round,internal,,BD Freshcream 12 Round,OD200,0.00,460.00,
CBR-FCR-014,10108,BD Freshcream 14 Round,freshcream cake round,internal,,BD Freshcream 14 Round,OD200,0.00,490.00,
CBR-FCR-016,10110,BD Freshcream 16 Round,freashcream round,internal,,BD Freshcream 16 Round,OD200,0.00,520.00,
CBR-FCR-018,10111,BD Freshcream 18 Round,freshcream round,internal,,BD Freshcream 18 Round,OD200,0.00,620.00,
CBR-FCR-020,10113,BD Freshcream 20 Round,freshcream round,internal,,BD Freshcream 20 Round,OD200,0.00,660.00,
CBS-BCD-012,10005,BD Buttercream 12 DL,buttercream square,internal,,BD Buttercream 12 DL,OD200,0.00,400.00,
CBS-BCD-014,10007,BD Buttercream 14 DL,buttercream square,internal,,BD Buttercream 14 DL,OD200,0.00,430.00,
CBS-BCD-016,10011,BD Buttercream 16 DL,buttercream square,internal,,BD Buttercream 16 DL,OD200,0.00,460.00,
CBS-BCD-018,10015,BD Buttercream 18 DL,buttercream square cake,internal,,BD Buttercream 18 DL,OD200,0.00,550.00,
CBS-BCD-020,10018,BD Buttercream 20 DL,buttercream square,internal,,BD Buttercream 20 DL,OD200,0.00,590.00,
CBS-BCD-022,10031,BD Buttercream 22 DL,buttercream square,internal,,BD Buttercream 22 DL,OD200,0.00,770.00,
CBS-BCE-016,10033,BD 16 BC DL Eggless,buttercream square,internal,,BD 16 BC DL Eggless,OD200,0.00,520.00,
CBS-BLF-012,10078,BD Freshcream 12 Black Forest,freshcream black forest,internal,,BD Freshcream 12 Black Forest,OD200,0.00,670.00,
CBS-FCD-012,10037,BD Freshcream 12 DL,freshcream square,internal,,BD Freshcream 12 DL,OD200,0.00,440.00,
CBS-FCD-016,10041,BD Freshcream 16 DL,freshcream square,internal,,BD Freshcream 16 DL,OD200,0.00,500.00,
CBS-FCD-018,10045,BD Freshcream 18 DL,freshcream square,internal,,BD Freshcream 18 DL,OD200,0.00,600.00,
CBS-FCD-020,10050,BD Freshcream 20 DL,frsshcream square,internal,,BD Freshcream 20 DL,OD200,0.00,640.00,
CBS-FCD-022,10054,BD Freshcream 22 DL,freshcream square,internal,,BD Freshcream 22 DL,OD200,0.00,830.00,
CBS-FCE-016,10103,BD 16 Freshcream Eggless,freshcream square,internal,,BD 16 Freshcream Eggless,OD200,0.00,560.00,
CBW-CAK-003,10102,BD Buttercream 3 Tier Stacked,wedding cake,internal,,BD Buttercream 3 Tier Stacked,OD200,0.00,"2,900.00",
CBW-STA-EAC,10289,BD Buttercream 2Tier Stacked 12 16,wedding cake,internal,,BD Buttercream 2Tier Stacked 12 16,OD200,0.00,"2,100.00",
CEX -NYW-EAC,30665,New York Baked Cheese Cake Round,exotic cakes,internal,,New York Baked Cheese Cake Round,OD200,0.00,400.00,
CEX CCD-EAC,14030,Cheese Cake Dessert,exotic cakes,internal,,Cheese Cake Dessert,OD200,0.00,25.00,
CEX- BEG-EAC,14050,FC Bar One Eggless Drip,exotic cakes,internal,,FC Bar One Eggless Drip,OD200,0.00,200.00,
CEX- MCP-EAC,14091,Moist Chocolate Pudding,exotic cakes,internal,,Moist Chocolate Pudding,OD200,0.00,55.00,
CEX- MDB-EAC,0,Buttercream 6 Layer Drip Cake with toppings,exotic cakes,internal,,Buttercream 6 Layer Drip Cake with toppings,OD200,0.00,"1,100.00",
CEX- NBS-EAC,0,New York Blueberry Cheese Cake Slice,exotic,internal,,New York Blueberry Cheese Cake Slice,OD200,0.00,45.00,
CEX- RTR-12,0,BC 12'' Round Triple Layer Rose Pattern,novelty,internal,,BC 12'' Round Triple Layer Rose Pattern,OD200,0.00,"1,000.00",
CEX-APP-EAC,14025,Apple Tart,exotic,internal,,Apple Tart,OD200,0.00,60.00,
CEX-ATS-EAC,0,Apple Tartlet,exotic,internal,,Apple Tartlet,OD200,0.00,25.00,
CEX-BAR-012,10001,BD Bar One Square 12,exotic cakes,internal,,BD Bar One Square 12,OD200,0.00,"1,100.00",
CEX-BAR-014,10002,BD Bar One Square 14,exotic cakes,internal,,BD Bar One Square 14,OD200,0.00,"1,300.00",
CEX-BAR-016,10003,BD Bar One Square 16,exotic cakes,internal,,BD Bar One Square 16,OD200,0.00,"1,500.00",
CEX-BAR-018,0,BD Bar One Square 18,exotic cakes,internal,,BD Bar One Square 18,OD200,0.00,"1,700.00",
CEX-BOL-EAC,4005,Bar One Log,exotic cakes,internal,,Bar One Log,OD200,0.00,185.00,
CEX-BOM-EAC,14065,Mothers Day Bar One Round with rose and leaves,exotic cakes,internal,,Mothers Day Bar One Round with rose and leaves,OD200,0.00,300.00,
CEX-BOR-EAC,14003,Bar One Round,exotic cakes,internal,,Bar One Round,OD200,0.00,280.00,
CEX-BOS-EAC,4008,Bar One Slice,exotic cakes,internal,,Bar One Slice,OD200,0.00,43.00,
CEX-CAC-012,0,BD 12 Carrot Cake square wit cream cheese,exotic,internal,,BD 12 Carrot Cake square wit cream cheese,OD200,0.00,"1,100.00",
CEX-CAC-014,0,BD 14' Carrot cake square with cream cheese,exotic,internal,,BD 14' Carrot cake square with cream cheese,OD200,0.00,"1,300.00",
CEX-CAC-016,0,BD 16' Carrot Cake Square with cream cheese,exotic cakes,internal,,BD 16' Carrot Cake Square with cream cheese,OD200,0.00,"1,500.00",
CEX-CAC-018,0,BD 18 Carrot Cake Square with cream cheese,exotic cakes,internal,,BD 18 Carrot Cake Square with cream cheese,OD200,0.00,"1,700.00",
CEX-CAC-020,0,BD 20 Carrot Cake Square with cream cheese,exotic,internal,,BD 20 Carrot Cake Square with cream cheese,OD200,0.00,"1,600.00",
CEX-CAC-EAC,0,Carrot Cake Cupcake,exotic cakes,internal,,Carrot Cake Cupcake,OD200,0.00,25.00,
CEX-CBD-EAC,0,Chocolate Bar One 6 Layer Drip Cake,exotic cakes,internal,,Chocolate Bar One 6 Layer Drip Cake,OD200,0.00,"1,400.00",
CEX-CBO-EAC,14006,Christmas Bar One Round,exotic cakes,internal,,Christmas Bar One Round,OD200,0.00,300.00,
CEX-CCP-6S,140295,Chocolate Cake Pops (6s),exotic cakes,internal,,Chocolate Cake Pops (6s),OD200,0.00,42.00,
CEX-CCS-EAC,14007,Cheese Cake Slice,exotic cakes,internal,,Cheese Cake Slice,OD200,0.00,48.00,
CEX-CCT-EAC,14008,Cheese Cake Tart,exotic cakes,internal,,Cheese Cake Tart,OD200,0.00,70.00,
CEX-CEG-EAC,14035,Caramel Exotic Gateaux,exotic cakes,internal,,Caramel Exotic Gateaux,OD200,0.00,190.00,
CEX-CFD-EAC,0,Chocolate Fererro 6 Layer Drip Cake,exotic cakes,internal,,Chocolate Fererro 6 Layer Drip Cake,OD200,0.00,"1,400.00",
CEX-CFE-EAC,14010,Christmas Ferrero Cake,exotic cakes,internal,,Christmas Ferrero Cake,OD200,0.00,280.00,
CEX-CRM-EAC,14199,Moist Choc Cake With Cream Cheese,exotic cakes,internal,,Moist Choc Cake With Cream Cheese,OD200,0.00,180.00,
CEX-CUS-EAC,14042,Custard & Jelly,exotic cakes,internal,,Custard & Jelly,OD200,0.00,19.00,
CEX-DCV-EAC,14044,Decorative Chocolate Vanilla Gateaux,exotic cakes,internal,,Decorative Chocolate Vanilla Gateaux,OD200,0.00,280.00,
CEX-EBC-EACH,0,Bar One Cupcake Eggless,exotic cakes,internal,,Bar One Cupcake Eggless,OD200,0.00,22.00,
CEX-FEM-EAC,14045,Mothers Day Ferrero Round with rose and leaves,exotic cakes,internal,,Mothers Day Ferrero Round with rose and leaves,OD200,0.00,280.00,
CEX-FER-012,10075,BD Ferrero Cake 12,exotic cakes,internal,,BD Ferrero Cake 12,OD200,0.00,"1,100.00",
CEX-FER-014,10076,BD Ferrero Cake 14,exotic cakes,internal,,BD Ferrero Cake 14,OD200,0.00,"1,300.00",
CEX-FER-016,10077,BD Ferrero Cake 16,exotic cakes,internal,,BD Ferrero Cake 16,OD200,0.00,"1,500.00",
CEX-FER-018,0,BD Ferrero Cake 18,exotic cakes,internal,,BD Ferrero Cake 18,OD200,0.00,"1,700.00",
CEX-FER-020,0,BD Ferrero Cake 20,exotic,internal,,BD Ferrero Cake 20,OD200,0.00,"1,800.00",
CEX-FRC-EAC,14012,Ferrero Rocher Cake,exotic cakes,internal,,Ferrero Rocher Cake,OD200,0.00,260.00,
CEX-LMS-EAC,0,Lemon Meringue Tart Small,exotic,internal,,Lemon Meringue Tart Small,OD200,0.00,20.00,
CEX-LMT-EAC,0,Lemon Meringue Tart Large,exotic cakes,internal,,Lemon Meringue Tart Large,OD200,0.00,60.00,
CEX-MAC-EAC,14047,Macaroons (4s),exotic cakes,internal,,Macaroons (4s),OD200,0.00,66.00,
CEX-MAL-EAC,14048,Malva Pudding,exotic,internal,,Malva Pudding,OD200,0.00,34.00,
CEX-MAO-EAC,0,Macaroons (1s),exotic,internal,,Macaroons (1s),OD200,10.00,19.00,
CEX-MBE-EAC,14049,Milky Bar Exotic,exotic cakes,internal,,Milky Bar Exotic,OD200,0.00,230.00,
CEX-MBS-EAC,0,Bar One Swissroll Slice,exotic cakes,internal,,Bar One Swissroll Slice,OD200,0.00,40.00,
CEX-MCL-EACH,0,Moist Chocolate Cake Large With Cream Cheese,exotic,internal,,Moist Chocolate Cake Large With Cream Cheese,OD200,0.00,350.00,
CEX-MDF-EAC,0,Freshcream 6 Layer Drip Cake with Toppings,shop front,internal,,Freshcream 6 Layer Drip Cake with Toppings,OD200,0.00,"1,200.00",
CEX-MIL-12,0,BD Milky Bar 12'',exotic,internal,,BD Milky Bar 12'',OD200,0.00,700.00,
CEX-MIL-14,0,BD Milky Bar 14'',exotic cakes,internal,,BD Milky Bar 14'',OD200,0.00,800.00,
CEX-MIL-EAC,0,Milky Bar Swissroll Slice,exotic cakes,internal,,Milky Bar Swissroll Slice,OD200,0.00,35.00,
CEX-MPN-EAC,0,Mini Pecan Nut Tart,exotic cakes,internal,,Mini Pecan Nut Tart,OD200,0.00,20.00,
