TEM CCODE;BARCODE;ITEM DESCRIPTION;SUB CATEGORY;MAIN CATEGORY;ITEM CATEGORY;UNIT OF MEASURE;OFFICE
CBR-FCR-012;10106;BD Freshcream 12 Round;freshcream cake round;Fresh Cream Birthday Cakes;internal;ea;pos
CBR-FCR-014;10108;BD Freshcream 14 Round;freshcream cake round;Fresh Cream Birthday Cakes;internal;ea;pos
CBR-FCR-016;10110;BD Freshcream 16 Round;freashcream round;Fresh Cream Birthday Cakes;internal;ea;pos
CBR-FCR-018;10111;BD Freshcream 18 Round;freshcream round;Fresh Cream Birthday Cakes;internal;ea;pos
CBR-FCR-020;10113;BD Freshcream 20 Round;freshcream round;Fresh Cream Birthday Cakes;internal;ea;pos
CBS-BLF-012;10078;BD Freshcream 12 Black Forest;freshcream black forest;Fresh Cream Birthday Cakes;internal;ea;pos
CBS-FCD-012;10037;BD Freshcream 12 DL;freshcream square;Fresh Cream Birthday Cakes;internal;ea;pos
CBS-FCD-016;10041;BD Freshcream 16 DL;freshcream square;Fresh Cream Birthday Cakes;internal;ea;pos
CBS-FCD-018;10045;BD Freshcream 18 DL;freshcream square;Fresh Cream Birthday Cakes;internal;ea;pos
CBS-FCD-020;10050;BD Freshcream 20 DL;freshcream square;Fresh Cream Birthday Cakes;internal;ea;pos
CBS-FCD-022;10054;BD Freshcream 22 DL;freshcream square;Fresh Cream Birthday Cakes;internal;ea;pos
CBS-FCE-016;10103;BD 16 Freshcream Eggless;freshcream square;Fresh Cream Birthday Cakes;internal;ea;pos
CFC-EF1-1M;;BD 1M X500 FC Eggless;freshcream 1mx 500;Fresh Cream Birthday Cakes;internal;ea;pos
CNO-FC1-1X5;10084;BD Freshcream 1mx500;freshcream 1mx 500;Fresh Cream Birthday Cakes;internal;ea;pos
CNO-FCE-1X5;;BD Freshcream 1m x 500 Eggless;freshcream cakes 1mx500 eggless;Fresh Cream Birthday Cakes;internal;ea;pos
SRN-FCE-020;;BD 20 Fresh Cream Eggless cake;freshcream square eggless;Fresh Cream Birthday Cakes;internal;ea;pos
CFC-BET-EAC;12022;Belgica Tart;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-BTL-EAC;12023;Belgica Tartlet;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-CBS-EAC;12009;FC Black Forest Slice;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-CCC-EAC;30866;Carrot Cake With Cream Cheese;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-CCD-EAC;12035;Custard Doughnut;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-CFD-EAC;15049;FC Choc Drip Gateaux;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-CFE-EACH;;Christmas Freshcream Eggless Gateaux;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-CUD-EAC;12024;Custard Danish;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-CUS-EAC;12025;Custard Slice;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-EMT-EACH;;Eggless Milk Tartlet;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FBF-EAC;12004;FC Black Forest Gateaux;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FBG-EAC;12002;FC Birthday Gateaux;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FCD-EAC;12015;Fresh Cream Doughnut;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FCE-EAC;12027;FC Eclair Chocolate;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FCG-EAC;12006;FC Chocolate Gateaux;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FCJ-EAC;12037;Christmas Freshcream Choc Gateaux;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FCL-EAC;12010;FC Fresh Cream Slice;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FCM-EAC;12012;FC Lamington Chocolate;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FCR-EAC;12026;FC Croissant 80g;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FCS-EAC;12014;FC Chocolate Swiss Roll;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FDD-EAC;8102;Cake Freshcream In Dome Eggless;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FEB-EAC;30519;FC Eggless Birthday Gateaux;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FEG-EAC;12007;FC Eggless Vanilla Gateaux;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FES-EAC;30621;FC Eggless Slice;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FOS-EAC;;Freshcream Oreo Slice;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FRL-EAC;12013;FC Lamington Raspberry;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FSM-EAC;;Mini Freshcream Swissroll;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-FSS-EAC;12031;FC Strawberry Sponge;freshcream cakes;Fresh Cream;internal;ea;pos
CFC-MEG-EAC;12034;Mothers Day Eggless Freshcream Gateaux;freshcream cakes;Fresh Cream;internal;ea;pos
